Brand,UsedOrNew,Transmission,DriveType,FuelType,BodyType,Doors,Seats,Engine_cylinder_number,Engine_total_volume,ExteriorColour,Year,Kilometres,Price,fuel_comsumption_liter,fuel_comsumption_km
Hyundai,USED,Automatic,Rear,Diesel,Wagon, 4 , 8 ,4 , 2.5 ,White ,2014,183550.0,19888.0,9.0,100.0
Toyota,USED,Automatic,Front,Unleaded,Hatchback, 5 , 5 ,4 , 1.3 ,Green ,2014,191748.0,8995.0,6.3,100.0
Toyota,USED,Automatic,Front,Unleaded,SUV, 4 , 7 ,6 , 3.5 ,Grey ,2016,139637.0,31900.0,10.4,100.0
Mitsubishi,USED,Automatic,Front,Unleaded,Sedan, 4 , 5 ,4 , 2 ,Grey ,2013,165306.0,14995.0,7.2,100.0
Subaru,USED,Automatic,AWD,Unleaded,SUV, 4 , 5 ,4 , 2 ,Grey ,2016,104887.0,22990.0,7.1,100.0
Mini,USED,Automatic,Front,Premium,Hatchback, 5 , 5 ,4 , 2 ,Yellow ,2017,72501.0,31990.0,5.5,100.0
Peugeot,USED,Automatic,Other,Unleaded,Hatchback, 4 , 5 ,4 , 2 ,White ,2015,167127.0,12999.0,7.68,100.0
Holden,USED,Manual,Rear,Unleaded,Ute  Tray, 2 , 2 ,8 , 6 ,Black ,2010,169220.0,25999.0,14.5,100.0
Hyundai,USED,Automatic,Front,Unleaded,Hatchback, 5 , 5 ,4 , 1.4 ,Silver ,2015,111783.0,13990.0,5.9,100.0
Mazda,USED,Automatic,Rear,Diesel,Ute  Tray, 4 , 5 ,5 , 3.2 ,White ,2018,97460.0,30990.0,9.3,100.0
Mazda,USED,Automatic,Front,Unleaded,Sedan, 4 , 5 ,4 , 2 ,Black ,2009,178389.0,8499.0,8.2,100.0
Hyundai,USED,Automatic,Front,Unleaded,Hatchback, 5 , 5 ,4 , 1.4 ,Blue ,2011,188262.0,10995.0,6.4,100.0
Honda,USED,Automatic,Other,Unleaded,Wagon, 4 , 5 ,4 , 2 ,Grey ,2015,71059.0,24888.0,7.239999999999999,100.0
Mazda,USED,Automatic,AWD,Unleaded,SUV, 4 , 5 ,4 , 2.3 ,Black ,2010,152831.0,11669.0,11.5,100.0
Jeep,USED,Automatic,Front,Premium,SUV, 4 , 5 ,4 , 1.4 ,Grey ,2017,69218.0,24950.0,5.9,100.0
Mazda,USED,Automatic,Front,Unleaded,Sedan, 4 , 5 ,4 , 2.5 ,White ,2013,124093.0,16990.0,6.6,100.0
Nissan,USED,Automatic,Rear,Unleaded,Wagon, 4 , 5 ,4 , 2 ,White ,2009,103090.0,19995.0,7.68,100.0
Kia,USED,Automatic,Front,Unleaded,Wagon, 4 , 8 ,6 , 3.5 ,White ,2013,98672.0,13995.0,10.9,100.0
Mitsubishi,USED,Automatic,Front,Unleaded,Sedan, 4 , 5 ,4 , 2 ,Grey ,2015,61481.0,17995.0,7.2,100.0
Subaru,USED,Automatic,AWD,Unleaded,Hatchback, 5 , 5 ,4 , 2 ,Grey ,2018,61177.0,22990.0,6.6,100.0
Mazda,USED,Automatic,Front,Unleaded,Hatchback, 5 , 5 ,4 , 2 ,Red ,2014,132648.0,16999.0,8.2,100.0
BMW,USED,Automatic,AWD,Unleaded,SUV, 5 , 5 ,4 , 2 ,Grey ,2021,31367.0,79988.0,7.3,100.0
Mazda,USED,Automatic,AWD,Unleaded,SUV, 4 , 5 ,4 , 2.3 ,Red ,2010,174818.0,12800.0,11.5,100.0
Audi,USED,Automatic,AWD,Premium,Coupe, 2 , 4 ,4 , 2 ,Grey ,2015,115334.0,26880.0,6.7,100.0
BMW,USED,Automatic,Rear,Premium,Hatchback, 5 , 5 ,4 , 1.6 ,White ,2014,57000.0,16990.0,5.8,100.0
Mercedes-Benz,USED,Automatic,Other,Unleaded,SUV, 4 , 5 ,4 , 2 ,Black ,2012,162775.0,16999.0,7.68,100.0
